metric,n,spearman_selectivity_vs_rho,pearson_selectivity_vs_rho
delta_cos,78,-0.052264191504697834,-0.04830440852453533
delta_frob,78,-0.011216631469796026,0.012605579355725084
delta_l2,78,-0.034459211674401545,-0.03844041206295925
delta_token_aligned,78,0.042122434527497817,0.11261470802204986
