phenomenon,model,layer,spearman_rho,spearman_q
negation,bert-base-uncased,0,0.154189145225147,4.388282033952536e-09
negation,gpt2,0,0.1314247883107347,6.91088201685007e-07
negation,roberta-base,0,0.1175885894908257,9.74114042962277e-06
role_reversal,bert-base-uncased,7,0.3286149630624909,5.691393351708837e-38
role_reversal,gpt2,10,0.3179570354557603,1.1048989069901396e-35
role_reversal,roberta-base,7,0.368273948659399,3.380034999127295e-47
