metric,total_cells,pos_sig_cells,neg_sig_cells,pos_sig_rate,neg_sig_rate
delta_cos,78,50,6,0.6410256410256411,0.07692307692307693
delta_frob,78,52,6,0.6666666666666666,0.07692307692307693
delta_l2,78,47,5,0.6025641025641025,0.0641025641025641
delta_token_aligned,78,32,32,0.41025641025641024,0.41025641025641024
