pair_id,phenomenon,model,total_surprisal_s,total_surprisal_cf,avg_surprisal_s,avg_surprisal_cf,delta_total_surprisal,delta_avg_surprisal,abs_delta_avg_surprisal,key_region_surprisal_s,key_region_surprisal_cf,delta_key_region_surprisal,key_region_count_s,key_region_count_cf
neg_000001,negation,gpt2,21.124839782714844,25.03822135925293,4.224967956542969,4.173037052154541,3.913381576538086,-0.051930904388427734,0.051930904388427734,1.6168797016143799,9.851176023483276,8.234296321868896,1,2
neg_000002,negation,gpt2,25.03822135925293,21.124839782714844,4.173037052154541,4.224967956542969,-3.913381576538086,0.051930904388427734,0.051930904388427734,9.851176023483276,1.6168797016143799,-8.234296321868896,2,1
neg_000003,negation,gpt2,20.527467727661133,23.399778366088867,4.105493545532227,3.899963140487671,2.8723106384277344,-0.20553040504455566,0.20553040504455566,3.199702024459839,7.825643062591553,4.625941038131714,1,2
neg_000004,negation,gpt2,23.399778366088867,20.527467727661133,3.899963140487671,4.105493545532227,-2.8723106384277344,0.20553040504455566,0.20553040504455566,7.825643062591553,3.199702024459839,-4.625941038131714,2,1
neg_000005,negation,gpt2,21.865449905395508,23.66377067565918,4.373089790344238,3.9439618587493896,1.7983207702636719,-0.42912793159484863,0.42912793159484863,5.881076335906982,9.202398777008057,3.321322441101074,1,2
neg_000006,negation,gpt2,23.66377067565918,21.865449905395508,3.9439618587493896,4.373089790344238,-1.7983207702636719,0.42912793159484863,0.42912793159484863,9.202398777008057,5.881076335906982,-3.321322441101074,2,1
neg_000007,negation,gpt2,20.007801055908203,24.771677017211914,4.001560211181641,4.128612995147705,4.763875961303711,0.12705278396606445,0.12705278396606445,1.1440811157226562,9.598119258880615,8.454038143157959,1,2
neg_000008,negation,gpt2,24.771677017211914,20.007801055908203,4.128612995147705,4.001560211181641,-4.763875961303711,-0.12705278396606445,0.12705278396606445,9.598119258880615,1.1440811157226562,-8.454038143157959,2,1
neg_000009,negation,gpt2,24.523935317993164,26.039934158325195,4.904787063598633,4.339989185333252,1.5159988403320312,-0.5647978782653809,0.5647978782653809,1.89993155002594,8.665555238723755,6.765623688697815,1,2
neg_000010,negation,gpt2,26.039934158325195,24.523935317993164,4.339989185333252,4.904787063598633,-1.5159988403320312,0.5647978782653809,0.5647978782653809,8.665555238723755,1.89993155002594,-6.765623688697815,2,1
neg_000011,negation,gpt2,24.09314727783203,26.242673873901367,4.818629264831543,4.373778820037842,2.149526596069336,-0.44485044479370117,0.44485044479370117,1.5285910367965698,9.304654121398926,7.776063084602356,1,2
neg_000012,negation,gpt2,26.242673873901367,24.09314727783203,4.373778820037842,4.818629264831543,-2.149526596069336,0.44485044479370117,0.44485044479370117,9.304654121398926,1.5285910367965698,-7.776063084602356,2,1
neg_000013,negation,gpt2,22.07805061340332,25.906518936157227,4.415610313415527,4.317753314971924,3.8284683227539062,-0.09785699844360352,0.09785699844360352,5.447882652282715,10.308538913726807,4.860656261444092,1,2
neg_000014,negation,gpt2,25.906518936157227,22.07805061340332,4.317753314971924,4.415610313415527,-3.8284683227539062,0.09785699844360352,0.09785699844360352,10.308538913726807,5.447882652282715,-4.860656261444092,2,1
