model,phenomenon,layer,metric,n,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_q,pearson_q
google/gemma-3-4b-it,negation,0,delta_cos,1500,0.053751349273519426,0.03738357577004903,0.0021430629314428723,0.0979215401687223,0.1156337960354834,7.128590256117578e-06,0.05400764033199048,0.15660190444958472,0.04801560190648498,1.3671268984335082e-05
google/gemma-3-4b-it,negation,0,delta_frob,1500,0.08512986511976021,0.0009657831623491311,0.033171136725833175,0.1311073329577689,0.12828752380379593,6.195433051717582e-07,0.0662396558973459,0.16971214425749748,0.0015452530597586099,1.3242146980770405e-06
google/gemma-3-4b-it,negation,0,delta_l2,1500,-0.009288706291033406,0.719252570600306,-0.06346181190624939,0.03521185587570305,0.10403502366256315,5.417173155353671e-05,0.04410000623556204,0.14778114642983076,0.7404070579709032,9.421170704962906e-05
google/gemma-3-4b-it,negation,0,delta_token_aligned,1500,-0.10294684069161213,6.48564129536788e-05,-0.1563647588115014,-0.043716981423013064,-0.043661985070083446,0.0909480484841089,-0.09358832482347833,-0.030111670535707506,0.00013653981674458695,0.09537623062003929
google/gemma-3-4b-it,negation,1,delta_cos,1500,0.09374759821784999,0.00027710694806547194,0.04493496759703755,0.13753927790771467,0.14419457218170528,2.031303102113889e-08,0.07697798957832086,0.18770658251944863,0.0005038308146644944,4.624104622698284e-08
google/gemma-3-4b-it,negation,1,delta_frob,1500,0.11152197603906852,1.4969461378718845e-05,0.062049545149567946,0.15462953812307428,0.15927168404086783,5.53758469293841e-10,0.09307964239283507,0.2044294225927234,3.489487932670495e-05,1.3482814904545695e-09
google/gemma-3-4b-it,negation,1,delta_l2,1500,0.10052129514896915,9.62687455228589e-05,0.05044378399856332,0.1401624135046662,0.13751657171776946,8.943633046634025e-08,0.07725293151344514,0.18270847907801918,0.00019532788946667023,1.9874740103631167e-07
google/gemma-3-4b-it,negation,1,delta_token_aligned,1500,-0.04124567601411633,0.11031343010009703,-0.08539393462764552,0.005869409096882662,-0.09490742147724468,0.0002323248857283948,-0.12493022841727186,-0.05755022713452293,0.13256549539925824,0.00038041501756696226
google/gemma-3-4b-it,negation,2,delta_cos,1500,0.09595943951487117,0.0001976614661260681,0.04420113972235434,0.1381616931284193,0.15121546441010075,3.967531649693837e-09,0.08353297847722015,0.19363611556546786,0.00038434173968957685,9.33536858751491e-09
google/gemma-3-4b-it,negation,2,delta_frob,1500,0.11148064618781545,1.5079572851897499e-05,0.06245092103178118,0.15641792410942013,0.1692879816454952,4.147488418904304e-11,0.10126716402502565,0.21443265834373473,3.489487932670495e-05,1.0752747752714862e-10
