phenomenon,metric,mean_raw_spearman,mean_surface_controlled_spearman,surface_controlled_ci_lo,surface_controlled_ci_hi,positive_surface_cells,positive_fdr_sig_cells,negative_fdr_sig_cells,cells
negation,delta_cos,0.011755882619659356,-0.01725530444219751,-0.13279956837901336,0.08937658475162051,13,4,10,39
negation,delta_frob,0.017895449611568703,-0.010689991110381058,-0.13170166329529334,0.10464316378410002,15,9,11,39
negation,delta_l2,-0.006811105444905026,-0.030173802520059852,-0.1373750423716436,0.05688714085489136,10,2,11,39
negation,delta_token_aligned,-0.07050244078100396,-0.058116541747065875,-0.1351072694975148,0.019921779665805328,4,0,22,39
role_reversal,delta_cos,0.2876984917824876,0.23815089761730263,0.1392207690987683,0.32449180257006044,39,39,0,39
role_reversal,delta_frob,0.2930363395428643,0.2409707198494172,0.11657496051145566,0.3238108943366401,39,39,0,39
role_reversal,delta_l2,0.2947184542400476,0.24365021519424834,0.1518033017850608,0.327016298190347,39,39,0,39
role_reversal,delta_token_aligned,0.14467817241184458,0.11608693570081907,-0.11752142188262128,0.2107528810259021,34,30,3,39
