model,phenomenon,condition,n,accuracy,yes_rate,mean_margin_yes_minus_no
google/gemma-3-4b-it,negation,counterfactual,1500,0.814,0.186,-6.218666666666667
google/gemma-3-4b-it,negation,identity_control,1500,1.0,1.0,24.70075
google/gemma-3-4b-it,role_reversal,counterfactual,1500,0.9686666666666667,0.03133333333333333,-10.09925
google/gemma-3-4b-it,role_reversal,identity_control,1500,0.9993333333333333,0.9993333333333333,24.377083333333335
