pair_id,phenomenon,model,dataset_path,layer,pooling,delta_cos,sim_frob,delta_frob,delta_l2,delta_token_aligned,token_count_s,token_count_cf,length_delta,lexical_jaccard,edit_distance,split,template_id
attach_000002,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,10,mean_non_special,0.09080272912979126,0.9087260314322692,0.09127396856773085,5.78864860534668,0.24038219451904297,8,8,0,0.5,32,test,attach_pp_v01
attach_000002,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,11,mean_non_special,0.07251614332199097,0.9296414373675688,0.07035856263243123,5.161215782165527,0.20534801483154297,8,8,0,0.5,32,test,attach_pp_v01
attach_000002,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,12,mean_non_special,0.09247112274169922,0.8974106883194576,0.10258931168054242,4.099177837371826,0.26177432636419934,8,8,0,0.5,32,test,attach_pp_v01
attach_000003,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,0,mean_non_special,0.06714212894439697,0.9436972328932571,0.05630276710674287,2.686615467071533,0.012784191540309362,8,9,1,0.625,5,train,attach_pp_v01
attach_000003,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,1,mean_non_special,0.04644292593002319,0.9513151926609698,0.048684807339030245,3.085272789001465,0.015201032161712646,8,9,1,0.625,5,train,attach_pp_v01
attach_000003,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,2,mean_non_special,0.037262916564941406,0.956656310254532,0.043343689745467984,3.1686954498291016,0.017011872359684536,8,9,1,0.625,5,train,attach_pp_v01
attach_000003,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,3,mean_non_special,0.03684741258621216,0.9572012221149601,0.04279877788503994,3.031306505203247,0.016297834260123118,8,9,1,0.625,5,train,attach_pp_v01
attach_000003,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,4,mean_non_special,0.030381739139556885,0.9603597017402516,0.03964029825974835,3.1497299671173096,0.020583110196249827,8,9,1,0.625,5,train,attach_pp_v01
attach_000003,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,5,mean_non_special,0.03007727861404419,0.9623039821015469,0.037696017898453116,3.3888638019561768,0.02405287538255964,8,9,1,0.625,5,train,attach_pp_v01
attach_000003,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,6,mean_non_special,0.036700427532196045,0.9537475644573457,0.04625243554265435,3.843341112136841,0.03383802516119821,8,9,1,0.625,5,train,attach_pp_v01
attach_000003,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,7,mean_non_special,0.04430645704269409,0.9478387522729448,0.052161247727055216,4.15998649597168,0.038020236151559014,8,9,1,0.625,5,train,attach_pp_v01
attach_000003,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,8,mean_non_special,0.059774160385131836,0.9330693218558479,0.0669306781441521,4.60092306137085,0.057354169232504706,8,9,1,0.625,5,train,attach_pp_v01
attach_000003,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,9,mean_non_special,0.06603312492370605,0.9291152862931776,0.07088471370682237,4.42559814453125,0.06674575805664062,8,9,1,0.625,5,train,attach_pp_v01
attach_000003,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,10,mean_non_special,0.05607426166534424,0.937220310161788,0.06277968983821203,4.540078163146973,0.066144517489842,8,9,1,0.625,5,train,attach_pp_v01
attach_000003,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,11,mean_non_special,0.04991346597671509,0.9472301085266169,0.05276989147338307,4.352234363555908,0.0608669604573931,8,9,1,0.625,5,train,attach_pp_v01
attach_000003,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,12,mean_non_special,0.06147569417953491,0.9319346873274853,0.0680653126725147,3.4236373901367188,0.05698784760066441,8,9,1,0.625,5,train,attach_pp_v01
attach_000004,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,0,mean_non_special,0.0788070559501648,0.9029395475379767,0.09706045246202333,2.903817653656006,0.06757869720458984,8,9,1,0.3,37,train,attach_pp_v01
attach_000004,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,1,mean_non_special,0.06768524646759033,0.9177656176729696,0.0822343823270304,3.5020811557769775,0.07715039253234864,8,9,1,0.3,37,train,attach_pp_v01
attach_000004,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,2,mean_non_special,0.050501346588134766,0.9369088623362957,0.06309113766370433,3.599606990814209,0.08486146926879883,8,9,1,0.3,37,train,attach_pp_v01
attach_000004,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,3,mean_non_special,0.04932236671447754,0.9360328419481246,0.06396715805187536,3.472860336303711,0.09463372230529785,8,9,1,0.3,37,train,attach_pp_v01
attach_000004,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,4,mean_non_special,0.04356330633163452,0.9384071018013528,0.06159289819864722,3.8374221324920654,0.14280519485473633,8,9,1,0.3,37,train,attach_pp_v01
attach_000004,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,5,mean_non_special,0.04192185401916504,0.9438653527227413,0.0561346472772587,4.1311421394348145,0.14399863481521608,8,9,1,0.3,37,train,attach_pp_v01
attach_000004,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,6,mean_non_special,0.05330502986907959,0.9313290507503357,0.06867094924966433,4.7859649658203125,0.18147846460342407,8,9,1,0.3,37,train,attach_pp_v01
attach_000004,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,7,mean_non_special,0.06285291910171509,0.9241050473304655,0.0758949526695345,5.090606689453125,0.17526861429214477,8,9,1,0.3,37,train,attach_pp_v01
attach_000004,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,8,mean_non_special,0.0738450288772583,0.9156480171503635,0.08435198284963652,5.297557830810547,0.2152644634246826,8,9,1,0.3,37,train,attach_pp_v01
attach_000004,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,9,mean_non_special,0.07686424255371094,0.9158640588322603,0.0841359411677397,4.966521739959717,0.20404878854751587,8,9,1,0.3,37,train,attach_pp_v01
attach_000004,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,10,mean_non_special,0.06729185581207275,0.9287624024416339,0.07123759755836612,5.411327838897705,0.19519593715667724,8,9,1,0.3,37,train,attach_pp_v01
