group,cells,positive_cells,mean_delta_adj_r2,positive_rate
Baselines,78,70,0.011398605679896177,0.8974358974358975
Mistral,66,59,0.00726225386180579,0.8939393939393939
Gemma,70,48,0.006367416560692882,0.6857142857142857
