model,phenomenon,layer,metric,n,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_q,pearson_q
bert-base-uncased,negation,0,delta_cos,1500,0.097190587005488,0.00016327033493881702,0.04985375494465733,0.13971616090784444,0.12664475171108577,8.62502790246006e-07,0.06614576660339304,0.16659515914401785,0.00028943377557335745,1.7588292193251884e-06
bert-base-uncased,negation,0,delta_frob,1500,0.15418914522514707,1.9409708996328526e-09,0.10187004666446905,0.19716046118041133,0.15981672380213047,4.828985784501959e-10,0.10121221553636571,0.200666901091637,4.388282033952536e-09,1.1243608692273217e-09
bert-base-uncased,negation,0,delta_l2,1500,0.07074793021854262,0.0061213997953447116,0.018789221030300268,0.1121015262574539,0.121953814476192,2.169004318370988e-06,0.060122346883166033,0.16243566596490716,0.009138166201662919,4.256159417180806e-06
bert-base-uncased,negation,0,delta_token_aligned,1500,-0.06753292638220348,0.0088876504642622,-0.11652546161524127,-0.016336400468972643,-0.11100732311190448,1.6396883530813992e-05,-0.1547803626283604,-0.055513465911747675,0.013141928648577283,2.9743184079150963e-05
bert-base-uncased,negation,1,delta_cos,1500,0.076442006119122,0.0030519801262287997,0.02298021764106012,0.12802788249605115,0.1417439212032398,3.527714223925354e-08,0.08306619756262695,0.18549311891987127,0.004737401986982017,7.696831034018955e-08
bert-base-uncased,negation,1,delta_frob,1500,0.10366526518269366,5.760008642231442e-05,0.04755026794488543,0.15254127728507014,0.16701601917914094,7.571427895892195e-11,0.10836628972677728,0.21242937111315283,0.00010697158907001248,1.803271376731576e-10
bert-base-uncased,negation,1,delta_l2,1500,0.06095093502388448,0.01823326247568692,0.011271892926388182,0.11575174883852672,0.12221353366027687,2.062837814548784e-06,0.06579580673565547,0.1660982823998928,0.025858081329155996,4.073451886957092e-06
bert-base-uncased,negation,1,delta_token_aligned,1500,-0.00804824186354109,0.7554568337465204,-0.05997641777888328,0.041683361539219047,0.01046663989708112,0.6854448927026592,-0.033931363752628924,0.06177210777037434,0.7804719606917694,0.705804641990857
bert-base-uncased,negation,2,delta_cos,1500,0.04655338409490506,0.0714700763765862,-0.0025385986624917845,0.09372348428784817,0.0914667665954055,0.00038967908624181147,0.02941321629849264,0.13860111374756368,0.09291109928956207,0.0006018805688487385
bert-base-uncased,negation,2,delta_frob,1500,0.08206104544185856,0.0014680458843847242,0.027354870407096565,0.13145417491340042,0.12564438750037937,1.0528969848842666e-06,0.06898291915654699,0.1737383156529027,0.002366089167017087,2.1331419434018906e-06
bert-base-uncased,negation,2,delta_l2,1500,0.03155690587894378,0.22190470135981605,-0.015890537420640016,0.07642952331664941,0.0835970592473446,0.0011924713559398547,0.02565329865609614,0.1314407285642472,0.2612613842425004,0.0017801486270489697
bert-base-uncased,negation,2,delta_token_aligned,1500,-0.03140455716365718,0.2241452919647277,-0.08472097352480311,0.022626659502772,-0.022528410953544936,0.38326027343167685,-0.06898775924311946,0.03031103160442944,0.2629072597481017,0.424032642945685
bert-base-uncased,negation,3,delta_cos,1500,0.0422669978079961,0.10176418978889205,-0.011375667921093234,0.08857538393063438,0.08013970835606256,0.00189503990384578,0.023192662331171367,0.12880014998913608,0.1275117558800575,0.002737279861110571
bert-base-uncased,negation,3,delta_frob,1500,0.07535135884686017,0.0034995870655102038,0.02410096237588919,0.12107638989381432,0.11959165789723417,3.4076677496351593e-06,0.06102995199292176,0.1680523226941158,0.00537867568689253,6.562915665964011e-06
bert-base-uncased,negation,3,delta_l2,1500,0.024234610194862574,0.34826614937164857,-0.023271663441309643,0.07329395077287953,0.06696594423554784,0.009477540821853673,0.01317016600597536,0.11642865750573372,0.39284551130641443,0.012636721095804897
bert-base-uncased,negation,3,delta_token_aligned,1500,0.01949160442951899,0.45063973244417127,-0.036041086659945216,0.0713935516186221,0.0387358684833104,0.13373208508960038,-0.011424916162688216,0.09000723903926762,0.49506900184007546,0.16298597870295048
bert-base-uncased,negation,4,delta_cos,1500,0.022526176935425666,0.3833074593746251,-0.027202743481518448,0.07431734479982738,0.07698692899208485,0.0028484714032457562,0.01767880164265344,0.12724148174508382,0.42574015694309286,0.004021371392817538
