n,llf,aic,bic,converged,beta_z_delta_cos,p_z_delta_cos,beta_z_delta_frob,p_z_delta_frob,beta_z_abs_surprisal,p_z_abs_surprisal,beta_z_probe_conf,p_z_probe_conf,beta_z_len,p_z_len,beta_z_jacc,p_z_jacc,layer
2700,19907.555209598715,-39787.11041919743,-39704.49632046954,True,1.0625894796513874e-12,0.9999978326228963,-1.4340872299760585e-12,0.9999978265682665,0.0037453811241277783,0.8920786900441365,-5.149575060018109e-14,0.9999996906327878,0.04207293633415727,0.19201476640508985,0.010994775901577611,0.37378445033286145,0
2700,19907.549981941323,-39787.09996388265,-39704.485865154755,True,1.4085989585613045e-12,0.999997987799558,-1.7568458107899496e-12,0.999997990678451,0.003743066615723238,0.892144845624744,-2.0427756349464058e-13,0.9999988928013926,0.04207119681732168,0.19203380357565814,0.010994257751669633,0.3738054982887119,1
2700,19907.5492461324,-39787.0984922648,-39704.484393536906,True,2.4178484896355176e-13,0.9999993563596168,-1.6201682709512902e-13,0.9999995209338366,0.00374372738222522,0.8921258405413912,6.157330099883037e-14,0.999999643046157,0.04207262775427494,0.19201784673581956,0.010994152838535096,0.3738095789018039,2
2700,19907.552917846348,-39787.105835692695,-39704.4917369648,True,3.685881268547221e-13,0.9999990617253532,-3.4514980802731234e-13,0.9999991059060301,0.0037432370844164555,0.8921396428696042,7.928203039245762e-14,0.9999995504488287,0.04207159511758141,0.19202750116216893,0.010994829655548075,0.3737797714504736,3
2700,19907.548017077213,-39787.09603415443,-39704.481935426535,True,4.4818207131553177e-13,0.9999986515774439,-3.444680700034803e-13,0.9999988988437833,0.0037441535180989744,0.8921135083939076,1.5899780324442594e-13,0.9999991623192478,0.04207276488073847,0.19201654058503248,0.010994268382537161,0.3738045112376356,4
2700,19907.550298511633,-39787.100597023265,-39704.48649829537,True,2.813358558010144e-13,0.9999992440308155,-1.5635070361762032e-13,0.9999995513484342,0.0037446382755964296,0.8920996146879148,1.0482881884389172e-13,0.9999994466561399,0.04207103662829336,0.19203390386726993,0.010994294743624511,0.37380261325284636,5
2700,19907.556734921895,-39787.11346984379,-39704.4993711159,True,7.176360132478672e-13,0.9999979972435326,-5.307089461394989e-13,0.9999984559202761,0.0037448152812913564,0.8920948344486926,2.70484951915326e-13,0.9999986368014805,0.04207324074805433,0.19201175402430337,0.010994597625749948,0.37379109730051285,6
2700,19907.556566616153,-39787.113133232306,-39704.49903450441,True,6.731784650318699e-13,0.9999982792363882,-4.658939869846729e-13,0.999998806779973,0.0037442151341648996,0.8921119139648844,2.772776740620176e-13,0.999998698422262,0.04207200803795708,0.19202485091545551,0.010994064559453216,0.37381451109088304,7
2700,19907.55395560652,-39787.10791121304,-39704.49381248515,True,8.021935886775268e-13,0.9999981028860099,-5.546650775352389e-13,0.9999987077451354,0.003745196995167094,0.8920838997321647,3.2382319950797466e-13,0.9999985097951071,0.04207063167621399,0.1920391787095993,0.010994776212843971,0.37378289268540754,8
2700,19907.559242343817,-39787.118484687635,-39704.50438595974,True,9.963323936683563e-13,0.9999979344772433,-7.719931067622786e-13,0.9999984210553596,0.0037428492353129123,0.8921510854710282,3.4924135755028896e-13,0.999998390766958,0.04207038166616032,0.19204149568647,0.010993929245576777,0.3738207952150462,9
2700,19907.551810178826,-39787.10362035765,-39704.48952162976,True,1.2523581837504681e-12,0.9999974593582812,-1.0500613377332456e-12,0.9999977599257136,0.003741941946350646,0.8921770555974846,3.4145726100686395e-13,0.9999982827924292,0.04207345564266331,0.192009569278898,0.010994024253809182,0.37381634979856637,10
2700,19907.552274729478,-39787.104549458956,-39704.490450731064,True,2.138941481600015e-12,0.9999962222301005,-1.934268473248183e-12,0.9999963661869421,0.003744756647875773,0.8920974197096182,4.0251605988007887e-13,0.9999978341220122,0.04207278251985088,0.19201970193235296,0.010994718326021911,0.373790453786941,11
2700,19907.55706534626,-39787.11413069252,-39704.50003196463,True,4.767905117726531e-12,0.9999951178115791,-5.1068794797400275e-12,0.9999952278273974,0.0037450916114008014,0.892088604429827,6.984874924186995e-14,0.9999995602254615,0.04207092237992582,0.19204446717426715,0.010994058334642537,0.373821656750017,12
