phenomenon,probe_name,model,dataset_path,layer,seed,split_type,feature_type,accuracy,macro_f1,auroc,ece,control_accuracy,control_macro_f1,selectivity,n_train,n_dev,n_test,config_sha256,solver,max_iter,C
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,4,23,random,sentence_mean,1.0,1.0,1.0,,0.5575,0.55703211517165,0.44296788482835003,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,5,11,random,sentence_mean,1.0,1.0,1.0,,0.4975,0.49749685935537097,0.502503140644629,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,5,13,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44688874921433064,0.5531112507856694,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,5,17,random,sentence_mean,1.0,1.0,1.0,,0.455,0.45478191276510604,0.545218087234894,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,5,19,random,sentence_mean,1.0,1.0,1.0,,0.51,0.5095586027424682,0.4904413972575318,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,5,23,random,sentence_mean,1.0,1.0,1.0,,0.5825,0.5819120638397747,0.4180879361602253,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,6,11,random,sentence_mean,1.0,1.0,1.0,,0.49,0.4895405865278751,0.510459413472125,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,6,13,random,sentence_mean,1.0,1.0,1.0,,0.445,0.4422671088332831,0.557732891166717,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,6,17,random,sentence_mean,1.0,1.0,1.0,,0.4475,0.4473307450406687,0.5526692549593313,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,6,19,random,sentence_mean,1.0,1.0,1.0,,0.505,0.5048885999349854,0.49511140006501464,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,6,23,random,sentence_mean,1.0,1.0,1.0,,0.5725,0.5715332719448255,0.4284667280551745,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,7,11,random,sentence_mean,1.0,1.0,1.0,,0.49,0.4895405865278751,0.510459413472125,1600,0,400,pending,liblinear,300,1.0
