model,phenomenon,mean_delta_adj_r2,max_delta_adj_r2
bert-base-uncased,attachment,0.0018723229636289,0.0309270054288306
bert-base-uncased,negation,-0.0030318139533212847,0.011965716476338
bert-base-uncased,role_reversal,0.003233730270643046,0.0265451072576633
gpt2,attachment,0.010086726586700455,0.0531278305230629
gpt2,negation,-0.006327534972356977,0.0004670010876756
gpt2,role_reversal,-0.0035106903164032616,0.0073526540476418
roberta-base,attachment,0.0072064190155746765,0.0456421575076545
roberta-base,negation,-0.0009087432583684772,0.0175564512954421
roberta-base,role_reversal,-0.009370346412922307,-0.0026950365414721
