model,phenomenon,layer,metric,n,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_q,pearson_q
mistralai/Mistral-7B-Instruct-v0.3,negation,0,delta_cos,1500,0.055290736516864926,0.03225357072113791,0.009971720749882064,0.0988028851393895,0.06742993327463094,0.00899230571661714,0.021312699194729813,0.10623652685635429,0.046785399287804445,0.012695019835224197
mistralai/Mistral-7B-Instruct-v0.3,negation,0,delta_frob,1500,0.1750235715974606,8.747678784641508e-12,0.12209970263276504,0.21699212368843307,0.14088759233396497,4.2687885304793204e-08,0.08016733391030775,0.17967810677190588,2.3093871991453583e-11,1.1618146103572583e-07
mistralai/Mistral-7B-Instruct-v0.3,negation,0,delta_l2,1500,0.0452801231646634,0.07957989201216945,-0.006815048953924633,0.09369274254164442,0.1047308918427134,4.823694515086321e-05,0.04591096643938251,0.15055748318325557,0.10885539632752711,0.00010027207495927471
mistralai/Mistral-7B-Instruct-v0.3,negation,0,delta_token_aligned,1500,0.06550238797076555,0.011164510822361084,0.016864688976376448,0.12058595547180864,-0.04366160087617107,0.09095089491142389,-0.07006484900241396,0.08402296102045502,0.016842462040590436,0.10767280832563186
mistralai/Mistral-7B-Instruct-v0.3,negation,1,delta_cos,1500,0.06731465122604662,0.00911075102265072,0.015537159378020525,0.10734478477735658,0.07436363065400729,0.003955604917984946,0.025134055268096228,0.11679261462366167,0.013823208448159714,0.006179169812710211
mistralai/Mistral-7B-Instruct-v0.3,negation,1,delta_frob,1500,0.0873300183644771,0.0007093801294214574,0.032504910381829746,0.13480723311819193,0.15620244029144936,1.186778645255772e-09,0.09832204373861912,0.1968529939619756,0.001192843020173661,4.233913004696268e-09
mistralai/Mistral-7B-Instruct-v0.3,negation,1,delta_l2,1500,0.0273195725122295,0.2903300872256374,-0.03122724931648409,0.07503577696075857,0.08906046665908121,0.000553802582014536,0.03334361305435096,0.1355695138882688,0.3483961046707649,0.0009493758548820618
mistralai/Mistral-7B-Instruct-v0.3,negation,1,delta_token_aligned,1500,-0.05812124407958858,0.02438220797880507,-0.10292194086552546,-0.004875859477709339,-0.11353081704179725,1.0451205878485989e-05,-0.15526509453764692,-0.06111911931814073,0.03596035143242759,2.399233349495914e-05
mistralai/Mistral-7B-Instruct-v0.3,negation,2,delta_cos,1500,0.09340527894271812,0.00029179557486921735,0.03538878419721046,0.13268766456985734,0.11210541812460348,1.3494485697750512e-05,0.06001484050123218,0.1576826410404815,0.0005463406508189601,3.0449095933385773e-05
mistralai/Mistral-7B-Instruct-v0.3,negation,2,delta_frob,1500,0.151249747999552,3.935273901142721e-09,0.09848955969767534,0.19597229998133023,0.18034459727016913,1.9689624896205663e-12,0.12753909693628424,0.22404414807937684,9.801059527374323e-09,9.807662212449613e-12
mistralai/Mistral-7B-Instruct-v0.3,negation,2,delta_l2,1500,0.10291353406850501,6.521295072053362e-05,0.04909418645046624,0.1465041612807607,0.1273485656198394,7.488905428869096e-07,0.07338675485990878,0.17323109716152701,0.0001388404757275877,1.7652419939477155e-06
mistralai/Mistral-7B-Instruct-v0.3,negation,2,delta_token_aligned,1500,-0.09152751047700873,0.00038619486948981464,-0.13858079607887996,-0.04366667798772181,-0.1131169272838062,1.1259789194893331e-05,-0.15937749212912738,-0.06165199617218491,0.0006888881455764262,2.562572713320551e-05
