phenomenon,n_pairs,mean_abs_length_delta,median_abs_length_delta,mean_lexical_jaccard,median_lexical_jaccard,mean_levenshtein_distance,median_levenshtein_distance,mean_delta_frob,mean_abs_delta_avg_surprisal
negation,1500,1.0013333333333334,1.0,0.4853015053333333,0.5,9.6,9.5,0.05839433991770006,0.4918448527654012
role_reversal,1500,0.04666666666666667,0.0,0.797328652,0.777778,19.492,19.0,0.019662533313982388,0.4030737908681234
